shoeId,shoeBrand,shoeCategory,shoeColour,shoeImage,shoePrice
81,Pleaser Shoes,"Clothing,Shoes,Women's Shoes,All Women's Shoes","Black,Blk Str Pat,White Stretch Patent",https://i5.walmartimages.com/asr/dae9a4d7-72fe-4edf-9a91-3ccdbcfdd0eb_1.7ebd06541ffb64f61568eb0c892a74df.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,57
82,Lowa,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Green,https://i5.walmartimages.com/asr/8a7c4832-8a10-4149-b978-5b4e665104bf_1.af04d599aefdde2dc60b70a5ffa8a82e.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,810
83,MUK LUKS,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Vanilla,https://i5.walmartimages.com/asr/fd80247c-a7e6-4f20-8c1c-c7e5fb1d1128_1.006fb3141fa4626812aae0f51ea8b32c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,65
84,Caterpillar,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Other,https://i5.walmartimages.com/asr/40c60d3c-0d13-4c57-bd0d-5d8a80352bb0_1.1dbbf86f2c8b3599e39222613613545e.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,69.95
85,Penny Loves Kenny,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Black,https://i5.walmartimages.com/asr/35dfc747-5b66-453d-aa32-7108bda923d4_1.9e160429cc47ea1bb171cdecc1d39906.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,69
86,Array,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Gray,https://i5.walmartimages.com/asr/67cd9dba-60fc-431c-a36e-41d94586206a_1.8f95cb372bd2e9f5a0f3446ac88b64cf.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,94
87,G.I.L.I.,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Gray,https://i5.walmartimages.com/asr/081ec4c2-86d8-4239-9ba8-50dd85f94aff_1.153b3fa31bac01743de177181c4eab31.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,149
88,Dolce by Mojo Moxy,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Black,https://i5.walmartimages.com/asr/6def3064-8575-42fe-abcb-fc64ae45792b_1.b7dad2a6304b862c062890fdaade2353.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,50
89,Anne Klein,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Black,https://i5.walmartimages.com/asr/d173c2cc-0fb4-4fbf-b178-40db760a15d5_1.65dbf7f61bc4433a20b6dd97f9568fc0.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,169
90,Lucky Brand,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Gray,https://i5.walmartimages.com/asr/55de9719-cc8e-4598-b16c-8533a034b2df_1.a36f160f203e28048f5d186d53fb2721.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,79
91,Trina Turk,"Clothing,Shoes,Women's Shoes,All Women's Shoes","Orange,Red",https://i5.walmartimages.com/asr/95cbfd4f-b1f6-478f-bbbe-fac30f41e9ae_1.6bb2ab2f3db12f88be3c5d91a2866f9e.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,258
92,PUMA,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Green,https://i5.walmartimages.com/asr/3be00380-fef1-42c4-9c02-aaa3778c5b9a_1.3f9724b5327d93c0b0490670d95bef09.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,75
93,Boreal,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Olive,https://i5.walmartimages.com/asr/fc4d745b-6087-4d3a-bc64-35035375a055_1.4435f8ce9a05cfb6b84b3509d1b01f3d.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,129
94,Hush Puppies,"Clothing,Shoes,Women's Shoes,Women's Casual Shoes",Bone Cloud,https://i5.walmartimages.com/asr/90eb1a37-25f4-4cb6-9a99-2c4d61e2ff4b_1.98d1ed845f6fac8c79781f591f8f8a49.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,28.99
95,Brianna Leigh,"Shoes,Women's Shoes,Clothing,All Women's Shoes",White,https://i5.walmartimages.com/asr/c695a3cf-7a4b-47fe-87b0-2785e7cc5070_1.38e4362da223c32bf1ad465f598e8114.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,133
96,GUESS,"Shoes,Women's Shoes,Clothing,All Women's Shoes","Light Natural Leather,Dark Natural,Beige,Brown",https://i5.walmartimages.com/asr/b1065911-65b6-4896-91c0-10d753c09e35_1.aa5cc654595371fa4304720e53fb97a9.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,50.59
97,Unbranded,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Grey,https://i5.walmartimages.com/asr/48f1dff1-4785-4cc5-a669-4f79d4a7991c_1.bf64f4aea1d7a15240a88421dde657ac.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,29.84
98,Walking Cradles,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Brown,https://i5.walmartimages.com/asr/6c3c5062-7f03-4684-9128-5a831ad3f8ec_1.92cf84a08a80837a981f577e823c8f2a.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,100
99,Mo Mo,"Shoes,Clothing,Women's Shoes,All Women's Shoes","Ivory,Black",https://i5.walmartimages.com/asr/ef64ff56-ade5-430f-a450-c24880cba49f_1.1d12c618ca987dc943206cf1ab2a8087.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,26.25
100,Splendid,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Orange,https://i5.walmartimages.com/asr/4b9539ee-a479-44b6-b98c-2f25b6b49791_1.02db8fea8c849c3b33471f93e9d6db0d.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,49
101,T K,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Black,https://i5.walmartimages.com/asr/89cc618d-ccf5-48cd-8839-e97d7f8078e4_1.6f0edd4c6d2083a76a0d790455c49cd9.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,59.99
102,McRae Industrial,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Tan Turquoise,https://i5.walmartimages.com/asr/83af6be9-2644-48a3-9c2e-ee9ce9bd1c9c_1.1067f99ecca3f365660cf21e48ee4ca7.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,57
103,Callisto,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Orange,https://i5.walmartimages.com/asr/3f0914cd-083d-4d42-8a1b-4bc388e98160_1.60f4b1c9ebbef245e16e63702cd708d9.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,69
104,Elie Tahari,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Green,https://i5.walmartimages.com/asr/3c28c406-95fa-43a6-8d46-f04e7043d836_1.06e7eb2e5ea732ca4471424a0831a121.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,149
105,Rebecca Minkoff,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Green,https://i5.walmartimages.com/asr/a0be2348-a7cf-42c9-b27f-b054bb908c80_1.f580442aadb523a6005c276ae936e336.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,200
106,Stuart Weitzman,"Women's Casual Shoes,Shoes,Women's Shoes,Clothing",Fossil,https://i5.walmartimages.com/asr/7fb9350e-b132-4eb7-9b6d-2e3243df0de3_1.9ebf7e2720a8b48cd736f40f9956fd18.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,169.99
107,Woolrich,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Green Ombre Wool,https://i5.walmartimages.com/asr/5e87c4aa-cc58-4dc8-827c-6d5f1d4d29c5_1.fe3ccb86462579dd40c3c552ec5aa5cc.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,80
